Date,Time,Round,Stadium,City,Country,HomeTeam,HomeGoals,AwayGoals,AwayTeam,Observation,Winning Team,PenalHomeScr,PenalAwayScr,PenalWinner
9-Jun-38, 18:00 ,First round,Parc des Princes,Paris,France,Switzerland,4,2,Germany, ,Switzerland,,,
12-Jun-38, 17:00 ,Quarter-finals,Stade du Parc Lescure,Bordeaux,France,Brazil,1,1,Czechoslovakia, ,Tie,,,
12-Jun-38, 17:00 ,Quarter-finals,Victor Boucquey,Lille,France,Hungary,2,0,Switzerland, ,Hungary,,,
12-Jun-38, 17:00 ,Quarter-finals,Fort Carree,Antibes,France,Sweden,8,0,Cuba, ,Sweden,,,
12-Jun-38, 17:00 ,Quarter-finals,Stade Olympique,Colombes,France,Italy,3,1,France, ,Italy,,,
14-Jun-38, 18:00 ,Quarter-finals,Stade du Parc Lescure,Bordeaux,France,Brazil,2,1,Czechoslovakia, ,Brazil,,,
16-Jun-38, 18:00 ,Semi-finals,Parc des Princes,Paris,France,Hungary,5,1,Sweden, ,Hungary,,,
16-Jun-38, 18:00 ,Semi-finals,Stade Vélodrome,Marseille,France,Italy,2,1,Brazil, ,Italy,,,
19-Jun-38, 17:00 ,Match for third place,Stade du Parc Lescure,Bordeaux,France,Brazil,4,2,Sweden, ,Brazil,,,
19-Jun-38, 17:00 ,Final,Stade Olympique,Colombes,France,Italy,4,2,Hungary, ,Italy,,,
24-Jun-50, 15:00 ,Group 1,"Estádio Jornalista Mário Filho, Maracanã",Rio de Janeiro,Brazil,Brazil,4,0,Mexico, ,Brazil,,,
25-Jun-50, 15:00 ,Group 2,"Estádio Jornalista Mário Filho, Maracanã",Rio de Janeiro,Brazil,England,2,0,Chile, ,England,,,
25-Jun-50, 15:00 ,Group 2,Durival de Brito,Curitiba,Brazil,Spain,3,1,USA, ,Spain,,,
25-Jun-50, 15:00 ,Group 3,Pacaembu,São Paulo,Brazil,Sweden,3,2,Italy, ,Sweden,,,
25-Jun-50, 15:00 ,Group 1,Independencia,Belo Horizonte,Brazil,Yugoslavia,3,0,Switzerland, ,Yugoslavia,,,
28-Jun-50, 15:00 ,Group 1,Pacaembu,São Paulo,Brazil,Brazil,2,2,Switzerland, ,Tie,,,
28-Jun-50, 15:00 ,Group 1,Eucaliptos,Porto Alegre,Brazil,Yugoslavia,4,1,Mexico, ,Yugoslavia,,,
29-Jun-50, 15:00 ,Group 2,"Estádio Jornalista Mário Filho, Maracanã",Rio de Janeiro,Brazil,Spain,2,0,Chile, ,Spain,,,
29-Jun-50, 15:30 ,Group 3,Durival de Brito,Curitiba,Brazil,Sweden,2,2,Paraguay, ,Tie,,,
29-Jun-50, 15:00 ,Group 2,Independencia,Belo Horizonte,Brazil,USA,1,0,England, ,USA,,,
1-Jul-50, 15:00 ,Group 1,"Estádio Jornalista Mário Filho, Maracanã",Rio de Janeiro,Brazil,Brazil,2,0,Yugoslavia, ,Brazil,,,
2-Jul-50, 15:00 ,Group 2,"Estádio Jornalista Mário Filho, Maracanã",Rio de Janeiro,Brazil,Spain,1,0,England, ,Spain,,,
2-Jul-50, 15:00 ,Group 3,Pacaembu,São Paulo,Brazil,Italy,2,0,Paraguay, ,Italy,,,
2-Jul-50, 15:00 ,Group 4,Independencia,Belo Horizonte,Brazil,Uruguay,8,0,Bolivia, ,Uruguay,,,
2-Jul-50, 15:40 ,Group 1,Eucaliptos,Porto Alegre,Brazil,Switzerland,2,1,Mexico, ,Switzerland,,,
