Date,Time,Round,Stadium,City,Country,HomeTeam,HomeGoals,AwayGoals,AwayTeam,Observation,Winning Team,PenalHomeScr,PenalAwayScr,PenalWinner
31-May-02, 20:30 ,Group A,Seoul World Cup Stadium,Seoul,Korea/Japan,France,0,1,Senegal, ,Senegal,,,
1-Jun-02, 18:00 ,Group A,Munsu Football Stadium,Ulsan,Korea/Japan,Uruguay,1,2,Denmark, ,Denmark,,,
1-Jun-02, 15:30 ,Group E,Niigata Stadium Big Swan,Niigata,Korea/Japan,Republic of Ireland,1,1,Cameroon, ,Tie,,,
1-Jun-02, 20:30 ,Group E,Sapporo Dome,Sapporo,Korea/Japan,Germany,8,0,Saudi Arabia, ,Germany,,,
2-Jun-02, 14:30 ,Group F,Kashima Stadium,Ibaraki Prefecture,Korea/Japan,Argentina,1,0,Nigeria, ,Argentina,,,
2-Jun-02, 16:30 ,Group B,Busan Asiad Main Stadium,Busan,Korea/Japan,Paraguay,2,2,South Africa, ,Tie,,,
2-Jun-02, 18:30 ,Group F,Saitama Stadium 2002,Saitama,Korea/Japan,England,1,1,Sweden, ,Tie,,,
2-Jun-02, 20:30 ,Group B,Gwangju World Cup Stadium,Gwangju,Korea/Japan,Spain,3,1,Slovenia, ,Spain,,,
3-Jun-02, 18:00 ,Group C,Munsu Football Stadium,Ulsan,Korea/Japan,Brazil,2,1,Turkey, ,Brazil,,,
3-Jun-02, 20:30 ,Group G,Sapporo Dome,Sapporo,Korea/Japan,Italy,2,0,Ecuador, ,Italy,,,
3-Jun-02, 15:30 ,Group G,Niigata Stadium Big Swan,Niigata,Korea/Japan,Croatia,0,1,Mexico, ,Mexico,,,
4-Jun-02, 15:30 ,Group C,Gwangju World Cup Stadium,Gwangju,Korea/Japan,China PR,0,2,Costa Rica, ,Costa Rica,,,
4-Jun-02, 18:00 ,Group H,Saitama Stadium 2002,Saitama,Korea/Japan,Japan,2,2,Belgium, ,Tie,,,
4-Jun-02, 20:30 ,Group D,Busan Asiad Main Stadium,Busan,Korea/Japan,Korea Republic,2,0,Poland, ,Korea Republic,,,
5-Jun-02, 15:30 ,Group H,Kobe Wing Stadium,Kobe,Korea/Japan,Russia,2,0,Tunisia, ,Russia,,,
5-Jun-02, 18:00 ,Group D,Suwon World Cup Stadium,Suwon,Korea/Japan,USA,3,2,Portugal, ,USA,,,
5-Jun-02, 20:30 ,Group E,Kashima Stadium,Ibaraki Prefecture,Korea/Japan,Germany,1,1,Republic of Ireland, ,Tie,,,
6-Jun-02, 15:30 ,Group A,Daegu World Cup Stadium,Daegu,Korea/Japan,Denmark,1,1,Senegal, ,Tie,,,
6-Jun-02, 18:00 ,Group E,Saitama Stadium 2002,Saitama,Korea/Japan,Cameroon,1,0,Saudi Arabia, ,Cameroon,,,
6-Jun-02, 20:30 ,Group A,Busan Asiad Main Stadium,Busan,Korea/Japan,France,0,0,Uruguay, ,Tie,,,
7-Jun-02, 15:30 ,Group F,Kobe Wing Stadium,Kobe,Korea/Japan,Sweden,2,1,Nigeria, ,Sweden,,,
7-Jun-02, 20:30 ,Group F,Sapporo Dome,Sapporo,Korea/Japan,Argentina,0,1,England, ,England,,,
7-Jun-02, 18:00 ,Group B,Jeonju World Cup Stadium,Jeonju,Korea/Japan,Spain,3,1,Paraguay, ,Spain,,,
8-Jun-02, 15:30 ,Group B,Daegu World Cup Stadium,Daegu,Korea/Japan,South Africa,1,0,Slovenia, ,South Africa,,,
8-Jun-02, 20:30 ,Group C,Jeju World Cup Stadium,Jeju Province,Korea/Japan,Brazil,4,0,China PR, ,Brazil,,,
8-Jun-02, 18:00 ,Group G,Kashima Stadium,Ibaraki Prefecture,Korea/Japan,Italy,1,2,Croatia, ,Croatia,,,
9-Jun-02, 18:00 ,Group C,Incheon Football Stadium,Incheon,Korea/Japan,Costa Rica,1,1,Turkey, ,Tie,,,
9-Jun-02, 20:30 ,Group H,International Stadium Yokohama,Yokohama,Korea/Japan,Japan,1,0,Russia, ,Japan,,,
9-Jun-02, 15:30 ,Group G,Miyagi Stadium,Rifu,Korea/Japan,Mexico,2,1,Ecuador, ,Mexico,,,
10-Jun-02, 15:30 ,Group D,Daegu World Cup Stadium,Daegu,Korea/Japan,Korea Republic,1,1,USA, ,Tie,,,
10-Jun-02, 20:30 ,Group D,Jeonju World Cup Stadium,Jeonju,Korea/Japan,Portugal,4,0,Poland, ,Portugal,,,
10-Jun-02, 18:00 ,Group H,Oita Stadium Big Eye,?ita,Korea/Japan,Tunisia,1,1,Belgium, ,Tie,,,
11-Jun-02, 15:30 ,Group A,Incheon Football Stadium,Incheon,Korea/Japan,Denmark,2,0,France, ,Denmark,,,
11-Jun-02, 15:30 ,Group A,Suwon World Cup Stadium,Suwon,Korea/Japan,Senegal,3,3,Uruguay, ,Tie,,,
11-Jun-02, 20:30 ,Group E,International Stadium Yokohama,Yokohama,Korea/Japan,Saudi Arabia,0,3,Republic of Ireland, ,Republic of Ireland,,,
11-Jun-02, 20:30 ,Group E,Shizuoka Stadium Ecopa,Shizuoka ,Korea/Japan,Cameroon,0,2,Germany, ,Germany,,,
12-Jun-02, 15:30 ,Group F,Miyagi Stadium,Rifu,Korea/Japan,Sweden,1,1,Argentina, ,Tie,,,
12-Jun-02, 15:30 ,Group F,Osaka Nagai Stadium,Osaka,Korea/Japan,Nigeria,0,0,England, ,Tie,,,
12-Jun-02, 20:30 ,Group B,Jeju World Cup Stadium,Jeju Province,Korea/Japan,Slovenia,1,3,Paraguay, ,Paraguay,,,
12-Jun-02, 20:30 ,Group B,Daejeon World Cup Stadium,Daejeon,Korea/Japan,South Africa,2,3,Spain, ,Spain,,,
13-Jun-02, 15:30 ,Group C,Suwon World Cup Stadium,Suwon,Korea/Japan,Costa Rica,2,5,Brazil, ,Brazil,,,
13-Jun-02, 15:30 ,Group C,Seoul World Cup Stadium,Seoul,Korea/Japan,Turkey,3,0,China PR, ,Turkey,,,
13-Jun-02, 20:30 ,Group G,International Stadium Yokohama,Yokohama,Korea/Japan,Ecuador,1,0,Croatia, ,Ecuador,,,
13-Jun-02, 20:30 ,Group G,Oita Stadium Big Eye,?ita,Korea/Japan,Mexico,1,1,Italy, ,Tie,,,
14-Jun-02, 15:30 ,Group H,Osaka Nagai Stadium,Osaka,Korea/Japan,Tunisia,0,2,Japan, ,Japan,,,
14-Jun-02, 20:30 ,Group D,Incheon Football Stadium,Incheon,Korea/Japan,Portugal,0,1,Korea Republic, ,Korea Republic,,,
14-Jun-02, 20:30 ,Group D,Daejeon World Cup Stadium,Daejeon,Korea/Japan,Poland,3,1,USA, ,Poland,,,
14-Jun-02, 15:30 ,Group H,Shizuoka Stadium Ecopa,Shizuoka ,Korea/Japan,Belgium,3,2,Russia, ,Belgium,,,
15-Jun-02, 20:30 ,Round of 16,Niigata Stadium Big Swan,Niigata,Korea/Japan,Denmark,0,3,England, ,England,,,
15-Jun-02, 15:30 ,Round of 16,Jeju World Cup Stadium,Jeju Province,Korea/Japan,Germany,1,0,Paraguay, ,Germany,,,
16-Jun-02, 20:30 ,Round of 16,Suwon World Cup Stadium,Suwon,Korea/Japan,Spain,1,1,Republic of Ireland,Spain win on penalties (3 - 2) ,Tie,3,2,Spain
16-Jun-02, 15:30 ,Round of 16,Oita Stadium Big Eye,?ita,Korea/Japan,Sweden,1,2,Senegal,Win on Golden Goal ,Senegal,,,
17-Jun-02, 20:30 ,Round of 16,Kobe Wing Stadium,Kobe,Korea/Japan,Brazil,2,0,Belgium, ,Brazil,,,
17-Jun-02, 15:30 ,Round of 16,Jeonju World Cup Stadium,Jeonju,Korea/Japan,Mexico,0,2,USA, ,USA,,,
18-Jun-02, 15:30 ,Round of 16,Miyagi Stadium,Rifu,Korea/Japan,Japan,0,1,Turkey, ,Turkey,,,
18-Jun-02, 20:30 ,Round of 16,Daejeon World Cup Stadium,Daejeon,Korea/Japan,Korea Republic,2,1,Italy,Win on Golden Goal ,Korea Republic,,,
21-Jun-02, 15:30 ,Quarter-finals,Shizuoka Stadium Ecopa,Shizuoka ,Korea/Japan,England,1,2,Brazil, ,Brazil,,,
21-Jun-02, 20:30 ,Quarter-finals,Munsu Football Stadium,Ulsan,Korea/Japan,Germany,1,0,USA, ,Germany,,,
22-Jun-02, 20:30 ,Quarter-finals,Osaka Nagai Stadium,Osaka,Korea/Japan,Senegal,0,1,Turkey,Win on Golden Goal ,Turkey,,,
22-Jun-02, 15:30 ,Quarter-finals,Gwangju World Cup Stadium,Gwangju,Korea/Japan,Spain,0,0,Korea Republic,Korea Republic win on penalties (3 - 5) ,Tie,3,5,Korea Republic
25-Jun-02, 20:30 ,Semi-finals,Seoul World Cup Stadium,Seoul,Korea/Japan,Germany,1,0,Korea Republic, ,Germany,,,
26-Jun-02, 20:30 ,Semi-finals,Saitama Stadium 2002,Saitama,Korea/Japan,Brazil,1,0,Turkey, ,Brazil,,,
29-Jun-02, 20:00 ,Third place,Daegu World Cup Stadium,Daegu,Korea/Japan,Korea Republic,2,3,Turkey, ,Turkey,,,
30-Jun-02, 20:00 ,Final,International Stadium Yokohama,Yokohama,Korea/Japan,Germany,0,2,Brazil, ,Brazil,,,
9-Jun-06, 18:00 ,Group A,"FIFA World Cup Stadium, Munich",Munich,Germany,Germany,4,2,Costa Rica, ,Germany,,,
9-Jun-06, 21:00 ,Group A,"FIFA World Cup Stadium, Gelsenkirchen",Gelsenkirchen,Germany,Poland,0,2,Ecuador, ,Ecuador,,,
10-Jun-06, 15:00 ,Group B,"FIFA World Cup Stadium, Frankfurt",Frankfurt,Germany,England,1,0,Paraguay, ,England,,,
10-Jun-06, 18:00 ,Group B,"FIFA World Cup Stadium, Dortmund",Dortmund,Germany,Trinidad and Tobago,0,0,Sweden, ,Tie,,,
10-Jun-06, 21:00 ,Group C,"FIFA World Cup Stadium, Hamburg",Hamburg,Germany,Argentina,2,1,Côte d'Ivoire, ,Argentina,,,
11-Jun-06, 15:00 ,Group C,Zentralstadion,Leipzig,Germany,Serbia and Montenegro,0,1,Netherlands, ,Netherlands,,,
11-Jun-06, 18:00 ,Group D,Franken-Stadion,Nuremberg,Germany,Mexico,3,1,Iran, ,Mexico,,,
11-Jun-06, 21:00 ,Group D,"FIFA World Cup Stadium, Cologne",Cologne,Germany,Angola,0,1,Portugal, ,Portugal,,,
12-Jun-06, 15:00 ,Group F,Fritz-Walter-Stadion,Kaiserslautern,Germany,Australia,3,1,Japan, ,Australia,,,
12-Jun-06, 18:00 ,Group E,"FIFA World Cup Stadium, Gelsenkirchen",Gelsenkirchen,Germany,USA,0,3,Czech Republic, ,Czech Republic,,,
12-Jun-06, 21:00 ,Group E,"FIFA World Cup Stadium, Hanover",Hanover,Germany,Italy,2,0,Ghana, ,Italy,,,
13-Jun-06, 15:00 ,Group G,"FIFA World Cup Stadium, Frankfurt",Frankfurt,Germany,Korea Republic,2,1,Togo, ,Korea Republic,,,
13-Jun-06, 18:00 ,Group G,Gottlieb-Daimler-Stadion,Stuttgart,Germany,France,0,0,Switzerland, ,Tie,,,
13-Jun-06, 21:00 ,Group F,Olympiastadion,Berlin,Germany,Brazil,1,0,Croatia, ,Brazil,,,
14-Jun-06, 15:00 ,Group H,Zentralstadion,Leipzig,Germany,Spain,4,0,Ukraine, ,Spain,,,
14-Jun-06, 18:00 ,Group H,"FIFA World Cup Stadium, Munich",Munich,Germany,Tunisia,2,2,Saudi Arabia, ,Tie,,,
14-Jun-06, 21:00 ,Group A,"FIFA World Cup Stadium, Dortmund",Dortmund,Germany,Germany,1,0,Poland, ,Germany,,,
15-Jun-06, 15:00 ,Group A,"FIFA World Cup Stadium, Hamburg",Hamburg,Germany,Ecuador,3,0,Costa Rica, ,Ecuador,,,
15-Jun-06, 18:00 ,Group B,Franken-Stadion,Nuremberg,Germany,England,2,0,Trinidad and Tobago, ,England,,,
15-Jun-06, 21:00 ,Group B,Olympiastadion,Berlin,Germany,Sweden,1,0,Paraguay, ,Sweden,,,
16-Jun-06, 15:00 ,Group C,"FIFA World Cup Stadium, Gelsenkirchen",Gelsenkirchen,Germany,Argentina,6,0,Serbia and Montenegro, ,Argentina,,,
16-Jun-06, 18:00 ,Group C,Gottlieb-Daimler-Stadion,Stuttgart,Germany,Netherlands,2,1,Côte d'Ivoire, ,Netherlands,,,
16-Jun-06, 21:00 ,Group D,"FIFA World Cup Stadium, Hanover",Hanover,Germany,Mexico,0,0,Angola, ,Tie,,,
17-Jun-06, 15:00 ,Group D,"FIFA World Cup Stadium, Frankfurt",Frankfurt,Germany,Portugal,2,0,IR Iran, ,Portugal,,,
17-Jun-06, 18:00 ,Group E,"FIFA World Cup Stadium, Cologne",Cologne,Germany,Czech Republic,0,2,Ghana, ,Ghana,,,
17-Jun-06, 21:00 ,Group E,Fritz-Walter-Stadion,Kaiserslautern,Germany,Italy,1,1,USA, ,Tie,,,
18-Jun-06, 15:00 ,Group F,Franken-Stadion,Nuremberg,Germany,Japan,0,0,Croatia, ,Tie,,,
18-Jun-06, 18:00 ,Group F,"FIFA World Cup Stadium, Munich",Munich,Germany,Brazil,2,0,Australia, ,Brazil,,,
18-Jun-06, 21:00 ,Group G,Zentralstadion,Leipzig,Germany,France,1,1,Korea Republic, ,Tie,,,
19-Jun-06, 15:00 ,Group G,"FIFA World Cup Stadium, Dortmund",Dortmund,Germany,Togo,0,2,Switzerland, ,Switzerland,,,
19-Jun-06, 18:00 ,Group H,"FIFA World Cup Stadium, Hamburg",Hamburg,Germany,Saudi Arabia,0,4,Ukraine, ,Ukraine,,,
19-Jun-06, 21:00 ,Group H,Gottlieb-Daimler-Stadion,Stuttgart,Germany,Spain,3,1,Tunisia, ,Spain,,,
20-Jun-06, 16:00 ,Group A,Olympiastadion,Berlin,Germany,Ecuador,0,3,Germany, ,Germany,,,
20-Jun-06, 16:00 ,Group A,"FIFA World Cup Stadium, Hanover",Hanover,Germany,Costa Rica,1,2,Poland, ,Poland,,,
20-Jun-06, 21:00 ,Group B,"FIFA World Cup Stadium, Cologne",Cologne,Germany,Sweden,2,2,England, ,Tie,,,
20-Jun-06, 21:00 ,Group B,Fritz-Walter-Stadion,Kaiserslautern,Germany,Paraguay,2,0,Trinidad and Tobago, ,Paraguay,,,
21-Jun-06, 16:00 ,Group D,Zentralstadion,Leipzig,Germany,Iran,1,1,Angola, ,Tie,,,
21-Jun-06, 16:00 ,Group D,"FIFA World Cup Stadium, Gelsenkirchen",Gelsenkirchen,Germany,Portugal,2,1,Mexico, ,Portugal,,,
21-Jun-06, 21:00 ,Group C,"FIFA World Cup Stadium, Frankfurt",Frankfurt,Germany,Netherlands,0,0,Argentina, ,Tie,,,
21-Jun-06, 21:00 ,Group C,"FIFA World Cup Stadium, Munich",Munich,Germany,Côte d'Ivoire,3,2,Serbia and Montenegro, ,Côte d'Ivoire,,,
22-Jun-06, 16:00 ,Group E,"FIFA World Cup Stadium, Hamburg",Hamburg,Germany,Czech Republic,0,2,Italy, ,Italy,,,
22-Jun-06, 16:00 ,Group E,Franken-Stadion,Nuremberg,Germany,Ghana,2,1,USA, ,Ghana,,,
22-Jun-06, 21:00 ,Group F,"FIFA World Cup Stadium, Dortmund",Dortmund,Germany,Japan,1,4,Brazil, ,Brazil,,,
22-Jun-06, 21:00 ,Group F,Gottlieb-Daimler-Stadion,Stuttgart,Germany,Croatia,2,2,Australia, ,Tie,,,
23-Jun-06, 16:00 ,Group H,Olympiastadion,Berlin,Germany,Ukraine,1,0,Tunisia, ,Ukraine,,,
23-Jun-06, 16:00 ,Group H,Fritz-Walter-Stadion,Kaiserslautern,Germany,Saudi Arabia,0,1,Spain, ,Spain,,,
23-Jun-06, 21:00 ,Group G,"FIFA World Cup Stadium, Cologne",Cologne,Germany,Togo,0,2,France, ,France,,,
23-Jun-06, 21:00 ,Group G,"FIFA World Cup Stadium, Hanover",Hanover,Germany,Switzerland,2,0,Korea Republic, ,Switzerland,,,
24-Jun-06, 17:00 ,Round of 16,"FIFA World Cup Stadium, Munich",Munich,Germany,Germany,2,0,Sweden, ,Germany,,,
24-Jun-06, 21:00 ,Round of 16,Zentralstadion,Leipzig,Germany,Argentina,2,1,Mexico,Argentina win after extra time ,Argentina,,,
25-Jun-06, 17:00 ,Round of 16,Gottlieb-Daimler-Stadion,Stuttgart,Germany,England,1,0,Ecuador, ,England,,,
25-Jun-06, 21:00 ,Round of 16,Franken-Stadion,Nuremberg,Germany,Portugal,1,0,Netherlands, ,Portugal,,,
26-Jun-06, 17:00 ,Round of 16,Fritz-Walter-Stadion,Kaiserslautern,Germany,Italy,1,0,Australia, ,Italy,,,
26-Jun-06, 21:00 ,Round of 16,"FIFA World Cup Stadium, Cologne",Cologne,Germany,Switzerland,0,0,Ukraine,Ukraine win on penalties (0 - 3) ,Tie,0,3,Ukraine
27-Jun-06, 17:00 ,Round of 16,"FIFA World Cup Stadium, Dortmund",Dortmund,Germany,Brazil,3,0,Ghana, ,Brazil,,,
27-Jun-06, 21:00 ,Round of 16,"FIFA World Cup Stadium, Hanover",Hanover,Germany,Spain,1,3,France, ,France,,,
30-Jun-06, 17:00 ,Quarter-finals,Olympiastadion,Berlin,Germany,Germany,1,1,Argentina,Germany win on penalties (4 - 2) ,Tie,4,2,Germany
30-Jun-06, 21:00 ,Quarter-finals,"FIFA World Cup Stadium, Hamburg",Hamburg,Germany,Italy,3,0,Ukraine, ,Italy,,,
1-Jul-06, 17:00 ,Quarter-finals,"FIFA World Cup Stadium, Gelsenkirchen",Gelsenkirchen,Germany,England,0,0,Portugal,Portugal win on penalties (1 - 3) ,Tie,1,3,Portugal
1-Jul-06, 21:00 ,Quarter-finals,"FIFA World Cup Stadium, Frankfurt",Frankfurt,Germany,Brazil,0,1,France, ,France,,,
4-Jul-06, 21:00 ,Semi-finals,"FIFA World Cup Stadium, Dortmund",Dortmund,Germany,Germany,0,2,Italy,Italy win after extra time ,Italy,,,
5-Jul-06, 21:00 ,Semi-finals,"FIFA World Cup Stadium, Munich",Munich,Germany,Portugal,0,1,France, ,France,,,
8-Jul-06, 21:00 ,Third place,Gottlieb-Daimler-Stadion,Stuttgart,Germany,Germany,3,1,Portugal, ,Germany,,,
9-Jul-06, 20:00 ,Final,Olympiastadion,Berlin,Germany,Italy,1,1,France,Italy win on penalties (5 - 3) ,Tie,5,3,Italy
11-Jun-10, 16:00 ,Group A,Soccer City Stadium,Johannesburg,South Africa,South Africa,1,1,Mexico, ,Tie,,,
11-Jun-10, 20:30 ,Group A,Cape Town Stadium,Cape Town,South Africa,Uruguay,0,0,France, ,Tie,,,
12-Jun-10, 13:30 ,Group B,Port Elizabeth Stadium,Nelson Mandela Bay Metropolitan Municipality,South Africa,Korea Republic,2,0,Greece, ,Korea Republic,,,
12-Jun-10, 16:00 ,Group B,Ellis Park Stadium,Johannesburg,South Africa,Argentina,1,0,Nigeria, ,Argentina,,,
12-Jun-10, 20:30 ,Group C,Royal Bafokeng Sports Palace,Phokeng,South Africa,England,1,1,USA, ,Tie,,,
13-Jun-10, 13:30 ,Group C,Peter Mokaba Stadium,Polokwane,South Africa,Algeria,0,1,Slovenia, ,Slovenia,,,
13-Jun-10, 16:00 ,Group D,Loftus Versfeld Stadium,City of Tshwane Metropolitan Municipality,South Africa,Serbia,0,1,Ghana, ,Ghana,,,
13-Jun-10, 20:30 ,Group D,Durban Stadium,Durban,South Africa,Germany,4,0,Australia, ,Germany,,,
14-Jun-10, 13:30 ,Group E,Soccer City Stadium,Johannesburg,South Africa,Netherlands,2,0,Denmark, ,Netherlands,,,
14-Jun-10, 16:00 ,Group E,Free State Stadium,Bloemfontein,South Africa,Japan,1,0,Cameroon, ,Japan,,,
14-Jun-10, 20:30 ,Group F,Cape Town Stadium,Cape Town,South Africa,Italy,1,1,Paraguay, ,Tie,,,
15-Jun-10, 13:30 ,Group F,Royal Bafokeng Sports Palace,Phokeng,South Africa,New Zealand,1,1,Slovakia, ,Tie,,,
15-Jun-10, 16:00 ,Group G,Port Elizabeth Stadium,Nelson Mandela Bay Metropolitan Municipality,South Africa,Côte d'Ivoire,0,0,Portugal, ,Tie,,,
15-Jun-10, 20:30 ,Group G,Ellis Park Stadium,Johannesburg,South Africa,Brazil,2,1,Korea DPR, ,Brazil,,,
16-Jun-10, 13:30 ,Group H,Mbombela Stadium,Mbombela,South Africa,Honduras,0,1,Chile, ,Chile,,,
16-Jun-10, 16:00 ,Group H,Durban Stadium,Durban,South Africa,Spain,0,1,Switzerland, ,Switzerland,,,
16-Jun-10, 20:30 ,Group A,Loftus Versfeld Stadium,City of Tshwane Metropolitan Municipality,South Africa,South Africa,0,3,Uruguay, ,Uruguay,,,
17-Jun-10, 13:30 ,Group B,Soccer City Stadium,Johannesburg,South Africa,Argentina,4,1,Korea Republic, ,Argentina,,,
17-Jun-10, 16:00 ,Group B,Free State Stadium,Bloemfontein,South Africa,Greece,2,1,Nigeria, ,Greece,,,
17-Jun-10, 20:30 ,Group A,Peter Mokaba Stadium,Polokwane,South Africa,France,0,2,Mexico, ,Mexico,,,
18-Jun-10, 13:30 ,Group D,Port Elizabeth Stadium,Nelson Mandela Bay Metropolitan Municipality,South Africa,Germany,0,1,Serbia, ,Serbia,,,
18-Jun-10, 16:00 ,Group C,Ellis Park Stadium,Johannesburg,South Africa,Slovenia,2,2,USA, ,Tie,,,
18-Jun-10, 20:30 ,Group C,Cape Town Stadium,Cape Town,South Africa,England,0,0,Algeria, ,Tie,,,
19-Jun-10, 13:30 ,Group E,Durban Stadium,Durban,South Africa,Netherlands,1,0,Japan, ,Netherlands,,,
19-Jun-10, 16:00 ,Group D,Royal Bafokeng Sports Palace,Phokeng,South Africa,Ghana,1,1,Australia, ,Tie,,,
19-Jun-10, 20:30 ,Group E,Loftus Versfeld Stadium,City of Tshwane Metropolitan Municipality,South Africa,Cameroon,1,2,Denmark, ,Denmark,,,
20-Jun-10, 13:30 ,Group F,Free State Stadium,Bloemfontein,South Africa,Slovakia,0,2,Paraguay, ,Paraguay,,,
20-Jun-10, 16:00 ,Group F,Mbombela Stadium,Mbombela,South Africa,Italy,1,1,New Zealand, ,Tie,,,
20-Jun-10, 20:30 ,Group G,Soccer City Stadium,Johannesburg,South Africa,Brazil,3,1,Côte d'Ivoire, ,Brazil,,,
21-Jun-10, 13:30 ,Group G,Cape Town Stadium,Cape Town,South Africa,Portugal,7,0,Korea DPR, ,Portugal,,,
21-Jun-10, 16:00 ,Group H,Port Elizabeth Stadium,Nelson Mandela Bay Metropolitan Municipality,South Africa,Chile,1,0,Switzerland, ,Chile,,,
21-Jun-10, 20:30 ,Group H,Ellis Park Stadium,Johannesburg,South Africa,Spain,2,0,Honduras, ,Spain,,,
22-Jun-10, 16:00 ,Group A,Royal Bafokeng Sports Palace,Phokeng,South Africa,Mexico,0,1,Uruguay, ,Uruguay,,,
22-Jun-10, 16:00 ,Group A,Free State Stadium,Bloemfontein,South Africa,France,1,2,South Africa, ,South Africa,,,
22-Jun-10, 20:30 ,Group B,Durban Stadium,Durban,South Africa,Nigeria,2,2,Korea Republic, ,Tie,,,
22-Jun-10, 20:30 ,Group B,Peter Mokaba Stadium,Polokwane,South Africa,Greece,0,2,Argentina, ,Argentina,,,
23-Jun-10, 16:00 ,Group C,Port Elizabeth Stadium,Nelson Mandela Bay Metropolitan Municipality,South Africa,Slovenia,0,1,England, ,England,,,
23-Jun-10, 16:00 ,Group C,Loftus Versfeld Stadium,City of Tshwane Metropolitan Municipality,South Africa,USA,1,0,Algeria, ,USA,,,
23-Jun-10, 20:30 ,Group D,Soccer City Stadium,Johannesburg,South Africa,Ghana,0,1,Germany, ,Germany,,,
23-Jun-10, 20:30 ,Group D,Mbombela Stadium,Mbombela,South Africa,Australia,2,1,Serbia, ,Australia,,,
24-Jun-10, 16:00 ,Group F,Ellis Park Stadium,Johannesburg,South Africa,Slovakia,3,2,Italy, ,Slovakia,,,
24-Jun-10, 16:00 ,Group F,Peter Mokaba Stadium,Polokwane,South Africa,Paraguay,0,0,New Zealand, ,Tie,,,
24-Jun-10, 20:30 ,Group E,Royal Bafokeng Sports Palace,Phokeng,South Africa,Denmark,1,3,Japan, ,Japan,,,
24-Jun-10, 20:30 ,Group E,Cape Town Stadium,Cape Town,South Africa,Cameroon,1,2,Netherlands, ,Netherlands,,,
25-Jun-10, 16:00 ,Group G,Durban Stadium,Durban,South Africa,Portugal,0,0,Brazil, ,Tie,,,
25-Jun-10, 16:00 ,Group G,Mbombela Stadium,Mbombela,South Africa,Korea DPR,0,3,Côte d'Ivoire, ,Côte d'Ivoire,,,
25-Jun-10, 20:30 ,Group H,Loftus Versfeld Stadium,City of Tshwane Metropolitan Municipality,South Africa,Chile,1,2,Spain, ,Spain,,,
25-Jun-10, 20:30 ,Group H,Free State Stadium,Bloemfontein,South Africa,Switzerland,0,0,Honduras, ,Tie,,,
26-Jun-10, 16:00 ,Round of 16,Port Elizabeth Stadium,Nelson Mandela Bay Metropolitan Municipality,South Africa,Uruguay,2,1,Korea Republic, ,Uruguay,,,
26-Jun-10, 20:30 ,Round of 16,Royal Bafokeng Sports Palace,Phokeng,South Africa,USA,1,2,Ghana,Ghana win after extra time ,Ghana,,,
27-Jun-10, 16:00 ,Round of 16,Free State Stadium,Bloemfontein,South Africa,Germany,4,1,England, ,Germany,,,
27-Jun-10, 20:30 ,Round of 16,Soccer City Stadium,Johannesburg,South Africa,Argentina,3,1,Mexico, ,Argentina,,,
28-Jun-10, 16:00 ,Round of 16,Durban Stadium,Durban,South Africa,Netherlands,2,1,Slovakia, ,Netherlands,,,
28-Jun-10, 20:30 ,Round of 16,Ellis Park Stadium,Johannesburg,South Africa,Brazil,3,0,Chile, ,Brazil,,,
29-Jun-10, 16:00 ,Round of 16,Loftus Versfeld Stadium,City of Tshwane Metropolitan Municipality,South Africa,Paraguay,0,0,Japan,Paraguay win on penalties (5 - 3) ,Tie,5,3,Paraguay
29-Jun-10, 20:30 ,Round of 16,Cape Town Stadium,Cape Town,South Africa,Spain,1,0,Portugal, ,Spain,,,
2-Jul-10, 16:00 ,Quarter-finals,Port Elizabeth Stadium,Nelson Mandela Bay Metropolitan Municipality,South Africa,Netherlands,2,1,Brazil, ,Netherlands,,,
2-Jul-10, 20:30 ,Quarter-finals,Soccer City Stadium,Johannesburg,South Africa,Uruguay,1,1,Ghana,Uruguay win on penalties (4 - 2) ,Tie,4,2,Uruguay
3-Jul-10, 16:00 ,Quarter-finals,Cape Town Stadium,Cape Town,South Africa,Argentina,0,4,Germany, ,Germany,,,
3-Jul-10, 20:30 ,Quarter-finals,Ellis Park Stadium,Johannesburg,South Africa,Paraguay,0,1,Spain, ,Spain,,,
6-Jul-10, 20:30 ,Semi-finals,Cape Town Stadium,Cape Town,South Africa,Uruguay,2,3,Netherlands, ,Netherlands,,,
7-Jul-10, 20:30 ,Semi-finals,Durban Stadium,Durban,South Africa,Germany,0,1,Spain, ,Spain,,,
10-Jul-10, 20:30 ,Match for third place,Port Elizabeth Stadium,Nelson Mandela Bay Metropolitan Municipality,South Africa,Uruguay,2,3,Germany, ,Germany,,,
11-Jul-10, 20:30 ,Final,Soccer City Stadium,Johannesburg,South Africa,Netherlands,0,1,Spain,Spain win after extra time ,Spain,,,
12-Jun-14, 17:00 ,Group A,Arena de Sao Paulo,São Paulo,Brazil,Brazil,3,1,Croatia, ,Brazil,,,
13-Jun-14, 13:00 ,Group A,Estadio das Dunas,"Natal, Rio Grande do Norte",Brazil,Mexico,1,0,Cameroon, ,Mexico,,,
13-Jun-14, 16:00 ,Group B,Arena Fonte Nova,"Salvador, Bahia",Brazil,Spain,1,5,Netherlands, ,Netherlands,,,
13-Jun-14, 18:00 ,Group B,Arena Pantanal,Cuiabá,Brazil,Chile,3,1,Australia, ,Chile,,,
